Age,Make,Type,Miles,Price
5,Toyota,2,13509,13511.61
5,Ford,1,22579,5651.49
3,Ford,3,73675,4233.32
6,Ford,2,56764,1837.18
2,BMW,2,66013,13530.92
7,Toyota,2,65182,23764.62
1,Toyota,2,48742,10045.61
2,BMW,2,82224,55321.83
8,Ford,2,53817,2344.37
1,Ford,2,62210,9415.91
4,Ford,3,25133,48122.64
3,Ford,3,53341,4879.78
5,Toyota,3,14368,44241.28
9,Ford,2,74214,5216.47
1,Toyota,2,85893,4668.74
9,Ford,2,12158,4312.49
1,Ford,2,56552,2556.44
3,BMW,1,11024,13049.70
4,BMW,3,36039,9238.23
7,Ford,2,58964,3448.45
8,BMW,2,24229,15522.62
10,Ford,2,14046,6589.66
6,Ford,2,73745,5222.78
8,Ford,1,91001,3541.00
6,Ford,3,39589,54292.78
2,Ford,2,10653,2965.19
1,Ford,2,46227,6146.70
7,Ford,1,35863,8792.10
2,Toyota,1,99133,49544.69
2,Ford,2,72753,5663.87
6,BMW,2,65590,28846.84
5,Ford,1,34653,32615.75
1,Toyota,2,69092,5089.14
6,Ford,3,76709,11580.70
7,Toyota,2,43811,22003.03
10,BMW,1,79866,10476.25
10,Toyota,2,12836,21918.21
7,Toyota,2,57748,9504.23
2,BMW,1,9151,252002.27
1,Ford,3,76492,17009.51
4,Ford,2,79733,5848.12
6,Toyota,1,41889,28593.58
4,Ford,2,79403,4300.01
9,Ford,3,76574,4820.58
3,Ford,3,67441,13079.72
10,Ford,2,26994,751.43
8,Toyota,3,82703,2353.87
7,Ford,1,70051,3675.24
4,Ford,3,62973,20051.62
3,Ford,2,34919,1872.23
6,Toyota,2,27483,13714.54
8,BMW,2,88762,10697.79
2,Ford,2,71570,1346.75
8,Ford,1,32052,11409.30
6,Ford,1,5016,10088.45
8,BMW,1,87105,8370.88
6,Toyota,1,96553,9206.32
3,Ford,2,61582,5026.49
5,BMW,1,11544,15209.70
1,Toyota,3,14722,119815.76
7,Ford,1,9225,5644.84
6,Ford,2,67959,4575.95
2,Ford,2,47459,3162.12
9,BMW,1,67416,23618.98
4,BMW,2,82340,7664.75
8,Ford,1,36351,3961.28
10,Toyota,1,73956,10786.00
3,Toyota,3,16312,2001.07
8,Ford,3,82379,3776.12
8,Toyota,2,49303,6206.60
10,Ford,2,69932,4067.33
10,Ford,2,39642,2372.49
7,Ford,2,61980,3330.70
10,Ford,1,57841,37017.92
3,Ford,2,47808,8748.11
8,Toyota,3,14064,6353.18
10,Ford,3,51817,1423.54
2,Ford,2,24071,2097.93
5,Toyota,1,48119,26533.39
4,Ford,1,55403,13650.76
5,Ford,2,25874,4509.56
2,Toyota,3,46978,12309.57
6,Toyota,1,23007,52267.44
7,Ford,1,72228,3117.23
1,Toyota,2,24325,20074.20
7,BMW,2,33215,14169.92
2,Toyota,3,99647,33792.56
2,Ford,1,33415,31163.40
7,Toyota,2,39062,12013.11
9,BMW,2,80973,16164.97
4,Toyota,1,87660,8590.65
5,Ford,3,92866,4982.02
7,BMW,1,5256,70511.79
10,BMW,3,61714,11436.74
2,Ford,3,5724,6092.06
8,Ford,3,86044,2258.48
1,Toyota,1,95635,15757.49
4,Ford,3,88345,8005.31
9,BMW,2,70097,19400.95
8,Toyota,1,34886,28491.18
5,Ford,3,51211,2559.22
10,Ford,2,91219,2808.41
8,Ford,3,95659,2312.06
5,BMW,2,83504,18410.32
8,BMW,3,84927,16646.71
8,Ford,3,43887,2287.58
2,Toyota,1,36586,141988.68
5,BMW,2,95547,6926.83
9,Ford,2,59804,1062.99
10,Ford,3,44133,6161.25
5,Ford,1,80538,6364.84
7,Ford,1,72723,11069.83
3,Ford,2,94238,3308.57
2,BMW,1,38419,24935.46
3,Toyota,1,3396,60199.70
8,BMW,1,8672,34144.68
9,Toyota,1,36125,6572.03
5,BMW,3,33193,26849.59
3,Ford,2,56215,11409.67
9,Ford,2,44549,2969.09
8,BMW,2,40714,17754.46
7,Toyota,3,15636,26187.30
1,Toyota,2,72975,35008.91
1,Toyota,1,847,25632.19
2,Ford,2,52977,19820.81
7,Toyota,1,72761,7968.49
4,Toyota,2,56662,30536.58
9,Ford,2,53332,1986.25
2,Toyota,3,29761,40530.34
2,BMW,2,54395,26208.38
9,Toyota,1,4863,30944.11
5,Toyota,2,92007,5097.57
6,BMW,2,35007,10946.02
3,Ford,2,59612,4817.63
2,Ford,2,37665,8735.78
5,Toyota,1,24179,86476.68
4,Toyota,3,97413,8203.89
3,Toyota,1,74208,42177.19
8,Ford,2,67334,3336.43
5,Toyota,2,70500,8234.96
4,Ford,2,86358,5352.38
9,BMW,2,89257,4553.08
9,BMW,2,59658,7229.39
4,BMW,2,34754,40227.28
8,Ford,2,2869,13756.28
9,BMW,3,51905,27351.81
9,Ford,2,50564,2176.36
9,Ford,2,73084,3250.33
4,Ford,2,87359,10241.43
2,Ford,2,70453,12448.76
9,Ford,3,66698,3509.99
2,Ford,2,43005,19913.48
8,BMW,3,2690,15264.39
7,Ford,1,92855,3814.13
3,BMW,2,41629,10643.38
4,Ford,2,61523,2949.33
1,Ford,3,72634,6053.97
9,Ford,2,25199,11530.34
10,Toyota,3,77775,7599.28
7,Toyota,1,27009,10131.35
7,Ford,3,39822,10717.47
1,BMW,2,42348,80168.14
10,Ford,2,69741,3382.25
8,Ford,2,68726,8209.50
2,BMW,3,85652,26315.82
2,Ford,2,21427,4100.50
8,BMW,3,61003,49843.10
8,Ford,3,3305,4078.17
6,Toyota,2,53834,17707.04
1,Ford,2,32843,5398.27
3,Ford,3,29648,14882.51
3,Toyota,2,11107,31416.03
6,Toyota,2,46052,16119.14
9,BMW,3,2835,15578.21
3,BMW,3,88508,25892.82
7,Ford,2,97554,2934.97
10,Ford,1,3862,10269.92
8,Ford,1,42711,12746.41
8,Ford,2,55301,2396.77
6,Toyota,1,55352,17321.90
6,Ford,2,43484,8754.52
10,Toyota,2,46095,7036.57
3,Ford,3,37478,2655.36
7,Toyota,3,23926,26600.64
5,Ford,3,66751,2093.93
6,Ford,2,48622,11552.35
1,Ford,2,32587,11145.82
9,Toyota,1,17362,37599.76
3,Ford,1,26920,8784.03
10,Ford,1,9161,37057.81
10,Ford,2,61461,1943.04
10,Toyota,2,66245,2567.41
4,BMW,1,1353,12031.76
8,Toyota,1,14413,4894.17
9,BMW,2,41573,11300.70
2,Ford,3,17616,40657.21
1,Ford,2,78656,44086.16
5,Toyota,3,20078,21846.17
4,BMW,2,14886,7537.31
8,Toyota,3,30034,8222.53
2,Toyota,3,41589,17573.43
1,Toyota,1,81886,17892.50
5,Ford,2,31914,6453.41
8,BMW,2,76886,14731.07
1,Toyota,1,79622,12086.47
3,Ford,3,71115,22175.05
9,BMW,2,64835,32395.15
1,Ford,2,47535,2844.38
6,Ford,2,26019,5668.10
6,Toyota,3,83846,13191.26
6,Ford,3,91736,4755.97
1,Toyota,1,12728,17758.06
10,BMW,2,93308,17831.58
3,Toyota,2,19731,48473.90
9,Ford,2,28486,2570.15
4,Ford,3,49849,6654.91
4,BMW,3,90630,30965.63
4,BMW,2,49359,35756.85
7,Ford,1,66847,8162.78
7,BMW,2,79460,5411.30
9,BMW,2,46985,22357.84
6,Ford,2,19778,1654.63
10,Ford,2,81009,2732.37
8,Toyota,3,14458,5047.59
8,BMW,1,69898,23763.20
7,BMW,2,32482,7259.35
4,Ford,2,72079,3555.68
4,BMW,2,58227,26498.25
4,Ford,2,24375,8451.25
6,Ford,3,10512,9327.20
2,Ford,2,93513,4038.49
1,Ford,3,33613,25055.25
2,Ford,2,49080,5209.48
7,Ford,2,61229,8541.01
5,Ford,2,6830,8674.16
8,Toyota,1,70992,39838.91
4,Toyota,2,19484,13593.43
10,BMW,2,3704,5911.30
6,BMW,1,85143,48056.47
7,Ford,2,3533,11538.74
5,BMW,1,38033,31437.47
8,Ford,2,44231,3513.45
10,Ford,2,80627,3170.71
7,Ford,3,86097,31067.05
2,BMW,2,84369,11968.73
9,BMW,2,3750,33180.76
2,Toyota,1,18207,52363.45
9,Ford,2,24212,5559.69
1,Toyota,1,74644,51937.85
7,Toyota,3,22673,32682.02
10,Toyota,2,6570,46646.97
2,BMW,3,50453,18174.44
1,Ford,2,17566,12810.13
8,Ford,2,16084,6101.36
4,Toyota,1,59231,24597.64
3,BMW,2,14558,12698.49
2,Toyota,3,63306,46841.55
3,Ford,2,93797,2595.67
1,BMW,2,38618,18618.94
5,BMW,2,46252,13143.46
8,Ford,2,10638,7061.56
8,BMW,1,36386,51113.27
5,Ford,2,95782,2861.83
2,Toyota,1,99544,112992.91
7,Ford,1,97480,2295.33
3,Toyota,3,63610,5181.25
5,BMW,3,8896,6683.57
4,Ford,2,34689,7070.76
10,BMW,1,42322,67398.72
7,Ford,2,66498,1820.02
1,Toyota,2,62373,19113.10
10,Toyota,1,39223,4005.45
5,Toyota,1,91748,15417.09
9,BMW,3,44671,10647.11
1,Ford,2,10239,19339.43
10,Ford,2,96080,6063.98
4,Ford,3,27425,6486.22
3,Ford,3,51911,9856.31
8,Toyota,3,7731,28409.39
8,Ford,2,59659,2009.83
8,BMW,2,47851,7010.77
5,Toyota,3,28598,6310.66
5,Ford,2,1075,6190.65
5,Ford,2,36977,4543.25
6,Ford,1,20601,16205.09
7,Ford,3,63533,16955.17
10,BMW,1,88724,25055.13
5,Toyota,2,72401,16548.40
1,Toyota,2,28624,52963.27
6,Ford,2,72170,16744.07
4,Ford,2,25615,84730.38
10,Ford,1,80704,1555.13
2,Toyota,3,64114,24771.49
8,Ford,3,1211,5231.81
1,BMW,3,65719,35641.82
9,Ford,2,28100,5282.01
6,BMW,2,33380,65793.90
2,Ford,3,86560,7578.79
8,Ford,3,20379,47216.08
10,Ford,2,50635,1369.45
7,Ford,2,95948,2279.87
8,Ford,3,15388,2672.13
5,Toyota,2,53687,5345.90
3,Ford,1,89321,6710.63
1,Ford,3,36549,11078.43
10,Toyota,1,83089,12491.98
10,Ford,2,3743,15026.11
6,Toyota,2,70594,5187.54
9,BMW,2,32856,13488.69
9,Ford,2,19480,3517.04
4,Toyota,3,44973,31663.53
1,BMW,2,62675,11035.69
7,Ford,3,95118,4809.81
2,Ford,3,32235,11230.10
8,BMW,1,87500,9347.16
9,BMW,3,63131,1627.46
10,Ford,2,85490,4429.99
6,Toyota,1,61678,32078.23
5,Toyota,3,98541,8684.26
2,BMW,3,51482,59772.17
10,Ford,2,94332,7123.43
10,Toyota,2,68798,4096.45
8,Toyota,2,10342,26011.08
1,Toyota,2,69719,11406.23
8,Toyota,2,24001,3642.43
1,Ford,3,19473,25321.97
5,BMW,2,68126,176885.42
10,BMW,3,43564,8827.18
7,Ford,2,33536,5993.96
3,Ford,1,15415,8911.31
2,Toyota,2,85543,4392.03
10,Ford,3,71988,2003.70
8,Toyota,2,27306,5596.64
8,Toyota,2,47633,5695.08
7,Ford,2,43066,5216.07
10,Ford,2,58793,1336.59
10,Ford,2,34945,12036.12
8,Toyota,3,65603,9588.63
1,Toyota,2,55471,16377.02
6,Toyota,3,71288,29197.96
1,Toyota,2,60326,15439.34
9,Toyota,3,43505,20544.25
6,BMW,1,59988,183356.33
9,Ford,1,55293,6167.74
4,BMW,1,26793,114621.86
5,Ford,1,91802,3531.23
5,Toyota,2,2851,16199.59
6,Ford,2,33553,3368.71
5,Toyota,3,33344,16288.57
5,BMW,2,72673,26741.86
2,BMW,2,49660,16227.28
1,BMW,1,65373,70864.14
5,Toyota,3,61078,110789.33
9,Toyota,3,56838,5190.71
2,BMW,2,35451,53198.36
5,BMW,2,25732,4013.30
8,Ford,2,41636,19218.95
2,BMW,2,17446,54431.18
6,Ford,3,97398,10551.77
2,Ford,1,30215,7174.17
5,BMW,2,74281,87509.71
3,Toyota,2,14768,21108.06
3,Ford,3,88022,6838.54
4,BMW,2,15853,26969.58
1,Ford,3,81077,2900.89
4,Ford,2,1794,20472.01
4,BMW,2,3695,19494.26
10,Toyota,2,97824,1242.90
4,Ford,2,75192,3329.97
8,Ford,2,71182,911.34
6,Ford,2,10485,10455.60
6,Ford,1,21813,13526.52
8,Ford,1,54110,9119.75
3,Toyota,3,2238,7501.78
5,Toyota,3,42993,33659.01
10,Ford,1,48110,1192.92
3,Ford,2,85407,5906.82
6,Toyota,1,97618,11208.12
5,Toyota,3,8710,41513.67
3,BMW,2,60604,13024.55
9,BMW,2,66963,5371.96
5,Toyota,2,27099,37206.39
2,Toyota,2,37520,11361.45
4,Ford,3,35248,10009.97
5,Ford,1,95345,2005.39
9,Ford,2,29262,18153.26
5,Ford,3,7151,13974.59
7,Ford,1,92340,25332.09
9,Toyota,2,99203,5745.13
1,Ford,2,58610,17148.53
2,Ford,2,99580,7079.58
2,Ford,3,15859,16524.96
1,Ford,1,29420,12725.03
1,BMW,2,52297,5284.68
5,Ford,3,17204,3710.23
3,BMW,3,42922,15727.43
3,Toyota,2,27555,14203.76
1,Toyota,2,96673,8495.03
5,Ford,2,33887,7513.85
1,Ford,1,13880,18441.30
6,Toyota,1,45360,19351.60
9,Ford,3,84092,3159.75
9,BMW,2,13305,37488.43
1,Ford,2,22492,3662.52
8,Ford,1,90907,1683.60
9,Ford,2,26410,4796.43
3,Ford,3,96492,1699.96
2,Ford,2,23658,5452.75
10,BMW,2,25810,32552.91
10,Ford,3,40330,2578.23
5,Toyota,2,83193,8362.64
3,Toyota,3,69412,14433.45
8,Ford,2,3350,10787.68
1,Ford,1,61498,18609.57
9,Ford,1,2170,12687.97
3,Toyota,2,22855,34520.54
2,BMW,2,49386,7282.39
1,Toyota,3,58699,24058.66
4,Ford,3,62231,5229.90
4,Ford,2,37578,15535.57
7,Ford,2,38546,6414.75
6,Ford,2,39727,19497.03
4,Ford,2,80125,3062.39
4,Ford,3,29417,6898.64
4,Ford,2,13190,12827.92
10,BMW,1,18876,33933.30
7,Ford,2,7293,8457.15
4,BMW,2,21173,21284.30
9,Toyota,3,64960,11963.65
9,Toyota,1,68683,13764.27
1,Ford,1,58664,6855.16
6,Toyota,2,23637,9786.68
9,Ford,2,44077,2808.69
1,Ford,3,22808,29010.14
6,Toyota,2,62720,10421.50
2,BMW,2,89110,7024.75
10,BMW,1,96392,36506.79
1,Toyota,2,3876,60934.45
2,Ford,2,11030,45766.97
4,Ford,3,75209,7795.75
6,Ford,1,98980,5074.09
6,Toyota,2,72096,2870.83
9,Toyota,3,40778,9216.54
6,BMW,2,16250,6358.02
5,Ford,3,84493,2846.75
2,Ford,1,62771,11689.18
7,BMW,1,95636,35218.00
8,BMW,1,38556,31927.25
8,Ford,2,3097,6708.86
1,Ford,3,62721,4008.47
7,Toyota,1,21972,18811.51
9,Ford,1,26566,13551.42
6,Ford,3,34687,4222.97
9,Ford,1,14332,8032.48
1,BMW,3,4077,12951.53
2,Ford,2,1041,18516.95
5,BMW,2,88437,66060.35
9,BMW,3,20556,30482.16
10,Ford,1,61880,2479.86
2,Ford,1,78543,10264.85
7,BMW,3,91858,3768.18
7,BMW,1,62584,16547.36
4,Ford,2,71739,13287.50
1,BMW,1,66554,38402.74
1,BMW,2,52971,109871.41
9,BMW,2,37802,16347.29
8,Toyota,2,84920,3807.46
7,Ford,3,64744,2207.64
10,BMW,2,49931,53660.03
7,Toyota,2,71449,15539.17
4,Ford,1,23788,19568.12
5,Ford,3,76975,7969.62
7,BMW,1,77020,15487.46
6,BMW,2,59329,28061.48
2,Toyota,2,3662,22528.81
1,Toyota,2,98077,13346.87
2,BMW,3,36978,42413.01
9,BMW,2,20778,21185.91
5,BMW,2,66255,8655.54
8,Toyota,2,74308,2142.15
3,Ford,2,54206,3226.67
9,BMW,2,65001,10164.01
4,Toyota,3,36867,5855.07
1,Toyota,1,42117,16870.86
5,Toyota,1,88653,11974.39
6,Ford,2,66434,25309.22
7,BMW,2,13289,17871.22
7,Ford,2,4789,899.21
6,Ford,1,1553,5268.37
9,BMW,1,17238,14384.85
9,Toyota,3,98491,3450.23
1,Toyota,2,82966,19043.35
9,BMW,2,20207,7653.28
8,Toyota,1,20674,20310.42
1,Toyota,1,44121,16353.29
9,Ford,3,96200,4112.74
9,Ford,1,56014,5696.40
7,Ford,2,6533,11547.34
3,Toyota,1,13727,78161.30
1,Ford,1,12197,4207.95
2,Ford,2,52450,5665.27
10,BMW,3,94308,23176.72
8,BMW,1,44100,22971.34
4,Ford,2,19168,6065.37
7,Toyota,2,6316,27440.53
2,Toyota,2,23682,23465.56
2,Toyota,2,42207,12836.19
4,Ford,3,22647,5591.80
6,Ford,1,53214,3348.42
1,Ford,2,18943,2502.95
